fr,dje
La fibre optique assure une transmission rapide des informations.,Fibr optik ga information kondayan yaw tabatandi.
Le programmeur a écrit plusieurs lignes de code.,Programör na kod ceeri boobo hantum.
Le système d'exploitation gère les ressources de l'ordinateur.,Sistem d'eksplwatasyon ga ordinatör resursey daabu.
La base de données contient des millions d'enregistrements.,"Baz de donnée ra, anrejistreman miliyon boobo go no."
L'intelligence artificielle apprend de ses erreurs.,Entelijans artifisyel ga dondon nga firfiryey ra.
Le robot assemble les pièces avec précision.,Robo ga kosoy margu da presizyon.
La simulation numérique a prédit le comportement du fluide.,Simulasyon nimérik na flüid alhaali bay jina.
Le capteur mesure la température ambiante.,Kaptör ga tanperatir anbyant lasaabu.
Le circuit imprimé connecte les composants électroniques.,Sirki enprime ga konpozan elektronik haw care gaa.
La nanotechnologie manipule la matière à l'échelle atomique.,Nanoteknoloji ga mater goyandi atome lasaabu boŋ.
Le matériau composite est léger et résistant.,"Materiyo konpoze ga farhã, a ga gaabi."
La réaction chimique produit de la chaleur.,Reaksyon shimik ga gullum te.
L'enzyme catalyse la transformation biologique.,Anzim ga transformasyon biyolojik katalize.
Le vaccin stimule la réponse immunitaire.,Vaksen ga repons iminiter tunandi.
L'antibiotique combat l'infection bactérienne.,Antibiotik ga enfeksiyon bakteri wane wongu.
Le diagnostic médical a été confirmé par les analyses.,Diyagnostik medikal na tabati analizey do.
La chirurgie a duré plusieurs heures.,Shirirji na guuru boobo te.
Le traitement préventif réduit les risques de maladie.,Tretman preventif ga cuta riskey kaynandi.
L'étude clinique évalue l'efficacité du nouveau médicament.,Etid klinik ga yaaji taji efikasite lasaabu.
La génétique étudie la transmission des caractères héréditaires.,Jenetik ga alhaali ka i ga tubu kondayan dondon.
L'ADN porte le code génétique de l'organisme.,ADN no ga alman kod jenetik jare.
La cellule est l'unité de base de la vie.,Selil no ga ti fundi unite asasi.
Le tissu biologique est composé de cellules similaires.,Tisu biyolojik ga te da selil ka hima care.
L'organe remplit une fonction spécifique dans le corps.,Organ ga fonksyon spesifik fo te gaaham ra.
Le système nerveux contrôle les actions et les sensations.,Sistem nerve ga aksyon da gunaa daabu.
Le cerveau est le centre de commandement du corps.,Boŋ laakalo no ga ti gaaham lordi nangu.
Le cœur pompe le sang à travers les vaisseaux.,Bina no ga kuri tuti fonda ra.
Les poumons absorbent l'oxygène de l'air.,Fufey ga oksijen di hawo ra.
Le squelette fournit un support structurel.,Skelet ga suport striktürel no.
Les muscles permettent le mouvement du corps.,Muskulley no ga naŋ gaaham ma dira.
La digestion décompose les aliments en nutriments.,Dijesyon ga ŋwaarey feeri ka te nitriman.
L'astronome observe les étoiles lointaines.,Astronom ga etwal moorey guna.
Le télescope spatial a capturé des images de galaxies.,Teleskop espasyal na galaksi foto di.
La planète orbite autour de son étoile.,Planet ga nga etwal windi.
La lune influence les marées terrestres.,Handu ga ndunnya marey di.
La gravité maintient les planètes sur leur orbite.,Gravite no ga planetey gaay ngey orbit boŋ.
La lumière du soleil met environ huit minutes pour atteindre la Terre.,Wayna kaari ga te minti ahakku ka to Ndunnya gaa.
L'univers est en expansion constante.,Univers ga beeri waati kul.
La matière noire constitue une grande partie de la masse de l'univers.,Mater nuwar no ga ti univers mas baayaŋ.
L'énergie noire accélère l'expansion de l'univers.,Enerji nuwar ga univers beeriyaŋ yawandi.
Le géologue étudie la composition des roches.,Jeolog ga tondey konpozisyon dondon.
Les plaques tectoniques se déplacent lentement.,Plak tektonik ga dira da hawru.
Les volcans libèrent de la lave et des cendres.,Volkan ga lav da dullu fumbu naŋ.
L'érosion façonne le paysage au fil du temps.,Erozyon ga nangu te waati ra.
Les fossiles nous renseignent sur la vie passée.,Fosil g'iri no habaru fundi ka bisa boŋ.
Le climat de la Terre a changé à plusieurs reprises.,Ndunnya klima na barmay sorro boobo.
L'océanographe étudie les courants marins.,Oseyanograf ga teeko kurey dondon.
Les récifs coralliens abritent une grande biodiversité.,Resif korayen ga biyodiversite beeri gaay.
Le météorologue prévoit le temps qu'il fera demain.,Meteorolog ga haw ka ga te suba bay jina.
La pression atmosphérique influence la météo.,Presyon atmosferik ga meteo di.
L'humidité de l'air est mesurée par un hygromètre.,"Haw nyun, igrometr no g'a lasaabu."
Le vent est le mouvement de l'air.,Haw ga ti haw diraw.
Les nuages sont formés de gouttelettes d'eau ou de cristaux de glace.,Burmu ga te da hari tondi kayna wala glas kristal.
"La pluie, la neige et la grêle sont des formes de précipitations.","Hari, nej da grêle ga ti presipitasyon dumiyaŋ."
L'arc-en-ciel apparaît lorsque la lumière du soleil traverse des gouttes de pluie.,Kataka ga te waati ka wayna kaari ga hari tondi bisa.
L'architecte a dessiné les plans du nouveau bâtiment.,Arshitekt na cinari taji planey te.
L'ingénieur civil supervise la construction du pont.,Enjeniyer sivil ga kööprü cina guna.
Le maçon a construit un mur solide.,Mason na cinari gaabi fo cina.
Le charpentier a assemblé la structure en bois.,Sharpantiye na striktür bundu wane margu.
L'électricien a installé le système électrique.,Elektrisiyen na sistem elektrik daŋ.
Le plombier a réparé la fuite d'eau.,Plonbiye na hari funa hanse.
Le mécanicien automobile a changé l'huile du moteur.,Mekanisyen otomobil na motör ji barmay.
Le pneu crevé a été remplacé.,"Pnö ka bu, i n'a barmay."
Le soudeur a assemblé les pièces métalliques.,Sudör na guuru kosoy margu.
L'opérateur de machine contrôle le processus de fabrication.,Operatör masin wane ga fabrikasyon proses daabu.
L'usine produit des milliers d'unités par jour.,Izin ga unite zambar boobo te zaari fo ra.
La chaîne de montage accélère la production.,Shen de montaj ga prodüksyon yawandi.
Le contrôle qualité vérifie la conformité des produits.,Kontrol kalite ga prodi konformite guna.
Le logisticien organise le transport des marchandises.,Lojistisyen ga alman transport soola.
Le conteneur a été chargé sur le navire.,"Kontener, i n'a daŋ hi boŋ."
Le train de marchandises transporte des matières premières.,Tren alman wane ga materiyel sintina jare.
L'avion cargo livre des colis urgents.,Aviyon kargo ga koli ka ga yaw no.
Le port est une plaque tournante pour le commerce international.,Por ga ti nangu beeri komers enternasyonal se.
L'agriculteur a semé les graines au printemps.,Farkoŋ na bi tilam printemps ra.
La récolte du blé aura lieu en été.,Alkama fari ga te été ra.
L'irrigation est nécessaire pour les cultures en zone aride.,Irigasyon ga tilas fari se nangu koogu ra.
Le tracteur laboure le champ.,Traktör ga fari fumbu.
Les pesticides protègent les cultures contre les insectes.,Pestisid ga fari gaay da kurey.
L'engrais améliore la fertilité du sol.,Angre ga laabu albarka taysandi.
L'élevage de bétail est une activité importante.,Alman beeriyaŋ ga ti goy ka tilas.
Les vaches produisent du lait et de la viande.,Hawey ga waa da ham te.
Les poulets pondent des œufs.,Kookarey ga gunde daŋ.
L'apiculteur récolte le miel des ruches.,Apikültör ga yu margu ciisey bu ra.
La pêche fournit une source de protéines.,Hamisa diyan ga protein funa no.
Le pisciculteur élève des poissons en bassins.,Pisikültör ga hamisa beeri basin ra.
La forêt fournit du bois et d'autres ressources.,Saaji beero ga bundu da resurs fooyaŋ no.
La gestion durable des forêts est essentielle.,Saaji beeri daabu dirab ga tilas.
Le menuisier fabrique des meubles en bois.,Menüiziye ga fu kaasey te da bundu.
Le forgeron travaille le métal chauffé.,Forjeron ga guuru ka i dullandi goy.
Le potier façonne l'argile sur son tour.,Potiyer ga laabu te nga tur boŋ.
Le tisserand crée des étoffes colorées.,Fari teekwa ga fari ka gonda fär te.
L'artisan vend ses créations au marché.,Artizan ga nga teyaney neera kaaso ra.
Le chef cuisinier prépare un plat délicieux.,Shef küiziniye ga ŋwaari kaano fo sobay.
Les ingrédients frais améliorent la saveur.,Engrediyan taji ga dayyaŋ taysandi.
La recette indique les étapes de préparation.,Reset ga sobayyan ce cabe.
Le four est préchauffé à la bonne température.,"Fur, i n'a dullandi jina tanperatir ka hima boŋ."
Le gâteau cuit lentement dans le four.,Gato ga mon da hawru furo ra.
Le pain frais sort du fournil.,Buru taji ga fun furnil gaa.
Le marché propose une variété de fruits et légumes.,Kaaso ga tuuri albarkey da kobtey dumi boobo no.
Le commerçant pèse les marchandises.,Komersan ga alman tiŋay.
Le client paie ses achats à la caisse.,Kliyan ga nga hay ka a day bana kes gaa.
La monnaie est rendue avec précision.,"Nooru banda, i g'a ye ka no da presizyon."
Le banquier conseille ses clients sur leurs finances.,Bankiye ga nga kliyan saaware ngey finans boŋ.
Le compte d'épargne rapporte des intérêts.,Kont d'epany ga entere kande.
Le prêt immobilier finance l'achat d'une maison.,Pre imobiliye ga fu dayyan finanse.
La bourse des valeurs fluctue quotidiennement.,Burs de valör ga barmay zaari kul.
L'investisseur analyse les tendances du marché.,Envestisör ga kaaso tandans analyse te.
L'assurance protège contre les risques financiers.,Asirans ga gaay da risk finansiye.
Le contrat d'assurance détaille les conditions de couverture.,Kontra d'asirans ga kuvertür kondisyon fahamandi.
L'expert-comptable vérifie les comptes de l'entreprise.,Eksper-kontabl ga antrepriz kont guna.
Le bilan financier montre l'actif et le passif.,Bilan finansiye ga aktif da pasif cabe.
L'avocat défend les intérêts de son client au tribunal.,Avoka ga nga kliyan enterê gaay tribunal ra.
Le juge rend un verdict basé sur les preuves.,Jij ga verdik te seeda boŋ.
La loi doit être respectée par tous les citoyens.,"Fonda, sitwayen kul ga hima i m'a say."
Le policier maintient l'ordre public.,Polis ga lordi publik gaay.
L'enquête criminelle cherche à identifier le coupable.,Anket kriminel ga ceeci ka alhakikaw bay.
Le pompier éteint l'incendie avec courage.,Ponpiye ga ton wi da gaabi.
L'ambulance transporte les blessés à l'hôpital.,Anbilans ga borey ka gaa jare ka koy opital.
Le médecin urgentiste prodigue les premiers soins.,Medesen irjantist ga swen sintina no.
L'enseignant explique la leçon aux élèves.,Karamkwa ga derse fahamandi almajirey se.
Les élèves écoutent attentivement en classe.,Almajirey ga maa da laakal klas ra.
L'examen évalue les connaissances acquises.,Egzamen ga bayray ka i du lasaabu.
La bibliothèque contient de nombreux ouvrages de référence.,"Bibliotek ra, tira referans wane boobo go no."
L'étudiant fait des recherches pour son mémoire.,Almajirio ga reshersh te nga memwar se.
L'université propose divers cursus académiques.,Iniversite ga kürsüs akademik dumi boobo no.
Le diplôme sanctionne la fin des études.,Diplom ga karamay bananta tabatandi.
Le chercheur publie ses résultats dans une revue scientifique.,Sherher ga nga albarkey fatta revü syantifik fo ra.
La découverte scientifique fait progresser la connaissance.,Bayyaŋ syantifik ga bayray te a ma koy jina.
L'artiste peintre expose ses œuvres dans une galerie.,Artist pentör ga nga goyey cabe galeri fo ra.
